,c_ul,c_ur,c_lr,c_ll
p_0_0,"(49, 49)","(446, 49)","(453, 444)","(49, 447)"
p_0_1,"(40, 56)","(444, 53)","(437, 462)","(40, 466)"
p_0_2,"(50, 69)","(447, 65)","(452, 466)","(50, 451)"
p_0_3,"(50, 127)","(452, 142)","(444, 538)","(50, 537)"
p_0_4,"(46, 51)","(440, 52)","(449, 451)","(46, 451)"
p_1_0,"(60, 42)","(462, 42)","(461, 450)","(67, 437)"
p_1_1,"(183, 59)","(577, 72)","(578, 464)","(176, 468)"
p_1_2,"(57, 50)","(459, 46)","(461, 443)","(62, 451)"
p_1_3,"(57, 57)","(456, 49)","(450, 452)","(49, 453)"
p_1_4,"(56, 43)","(457, 42)","(459, 442)","(65, 442)"
p_2_0,"(147, 49)","(548, 49)","(548, 451)","(146, 457)"
p_2_1,"(40, 145)","(442, 139)","(442, 537)","(41, 537)"
p_2_2,"(128, 142)","(529, 142)","(529, 544)","(130, 539)"
p_2_3,"(47, 56)","(446, 61)","(446, 457)","(41, 459)"
p_2_4,"(139, 149)","(544, 147)","(544, 549)","(141, 549)"
