,c_ul,c_ur,c_lr,c_ll
p_0_0,"(72, 72)","(799, 72)","(798, 610)","(72, 616)"
p_0_1,"(72, 94)","(798, 88)","(797, 645)","(72, 646)"
p_0_2,"(73, 226)","(798, 225)","(797, 769)","(73, 769)"
p_0_3,"(75, 266)","(799, 266)","(802, 816)","(75, 820)"
p_0_4,"(85, 259)","(812, 255)","(815, 805)","(85, 796)"
p_0_5,"(74, 217)","(804, 226)","(803, 768)","(74, 774)"
p_0_6,"(75, 81)","(804, 75)","(807, 621)","(75, 624)"
p_0_7,"(75, 78)","(807, 75)","(802, 617)","(75, 622)"
p_0_8,"(86, 281)","(813, 276)","(807, 827)","(86, 835)"
p_0_9,"(84, 233)","(805, 225)","(815, 777)","(84, 777)"
p_1_0,"(218, 89)","(950, 89)","(947, 638)","(217, 627)"
p_1_1,"(241, 112)","(971, 123)","(976, 662)","(240, 669)"
p_1_2,"(229, 252)","(965, 245)","(963, 796)","(228, 796)"
p_1_3,"(219, 281)","(954, 281)","(952, 830)","(222, 831)"
p_1_4,"(82, 80)","(812, 79)","(814, 629)","(85, 630)"
p_1_5,"(184, 84)","(913, 83)","(917, 633)","(183, 626)"
p_1_6,"(204, 243)","(938, 250)","(931, 790)","(207, 789)"
p_1_7,"(188, 263)","(912, 264)","(913, 808)","(183, 805)"
p_1_8,"(83, 77)","(813, 80)","(814, 634)","(77, 628)"
p_1_9,"(84, 74)","(821, 80)","(820, 626)","(94, 626)"
p_2_0,"(179, 92)","(909, 92)","(911, 639)","(176, 641)"
p_2_1,"(88, 224)","(823, 222)","(831, 768)","(93, 763)"
p_2_2,"(115, 221)","(853, 226)","(832, 772)","(113, 772)"
p_2_3,"(74, 72)","(793, 72)","(798, 625)","(72, 621)"
p_2_4,"(238, 230)","(964, 234)","(970, 779)","(240, 780)"
p_2_5,"(223, 262)","(953, 261)","(952, 806)","(227, 812)"
p_2_6,"(190, 101)","(915, 95)","(913, 645)","(183, 641)"
p_2_7,"(249, 98)","(979, 102)","(980, 651)","(250, 642)"
p_2_8,"(205, 271)","(935, 280)","(936, 829)","(206, 825)"
p_2_9,"(263, 118)","(993, 122)","(995, 664)","(262, 664)"
p_3_0,"(115, 91)","(848, 91)","(847, 631)","(117, 638)"
p_3_1,"(73, 80)","(803, 73)","(796, 626)","(81, 626)"
p_3_2,"(111, 259)","(826, 259)","(826, 805)","(90, 805)"
p_3_3,"(254, 287)","(990, 287)","(996, 836)","(259, 840)"
p_3_4,"(83, 248)","(820, 244)","(816, 792)","(89, 793)"
p_3_5,"(73, 228)","(800, 227)","(798, 770)","(72, 773)"
p_3_6,"(80, 285)","(806, 282)","(811, 830)","(78, 835)"
p_3_7,"(219, 263)","(952, 258)","(951, 809)","(220, 812)"
p_3_8,"(82, 103)","(813, 100)","(813, 648)","(83, 652)"
p_3_9,"(103, 275)","(833, 271)","(827, 817)","(105, 817)"
p_4_0,"(73, 72)","(799, 72)","(799, 616)","(72, 612)"
p_4_1,"(219, 99)","(946, 103)","(946, 651)","(212, 652)"
p_4_2,"(77, 74)","(811, 73)","(811, 625)","(77, 620)"
p_4_3,"(84, 80)","(818, 85)","(818, 625)","(90, 629)"
p_4_4,"(87, 263)","(815, 259)","(815, 811)","(83, 811)"
p_4_5,"(231, 264)","(963, 264)","(963, 817)","(229, 807)"
p_4_6,"(231, 87)","(965, 97)","(965, 639)","(236, 635)"
p_4_7,"(171, 267)","(900, 271)","(900, 822)","(170, 818)"
p_4_8,"(104, 193)","(834, 197)","(834, 731)","(104, 741)"
p_4_9,"(79, 230)","(809, 220)","(809, 776)","(73, 776)"
